date;location;new_cases;total_cases;new_deaths;total_deaths;new_recuperados;total_recuperados;internados;uci
02/03/2020;Portugal;0;2;0;0;0;0;;
03/03/2020;Portugal;2;4;0;0;0;0;;
04/03/2020;Portugal;2;6;0;0;0;0;;
05/03/2020;Portugal;3;9;0;0;0;0;;
06/03/2020;Portugal;4;13;0;0;0;0;;
07/03/2020;Portugal;8;21;0;0;0;0;;
08/03/2020;Portugal;9;30;0;0;0;0;;
09/03/2020;Portugal;9;39;0;0;0;0;;
10/03/2020;Portugal;2;41;0;0;0;0;;
11/03/2020;Portugal;18;59;0;0;0;0;40;
12/03/2020;Portugal;19;78;0;0;0;0;57;
13/03/2020;Portugal;34;112;0;0;0;0;69;
14/03/2020;Portugal;57;169;0;0;1;1;107;
15/03/2020;Portugal;76;245;0;0;1;2;114;10
16/03/2020;Portugal;86;331;0;0;1;3;139;9
17/03/2020;Portugal;117;448;1;1;0;3;139;18
18/03/2020;Portugal;194;642;1;2;0;3;206;17
19/03/2020;Portugal;143;785;1;3;0;3;89;20
20/03/2020;Portugal;235;1020;3;6;2;5;126;26
21/03/2020;Portugal;260;1280;6;12;0;5;156;35
22/03/2020;Portugal;320;1600;2;14;0;5;169;41
23/03/2020;Portugal;460;2060;9;23;9;14;201;47
24/03/2020;Portugal;302;2362;10;33;8;22;203;48
25/03/2020;Portugal;633;2995;10;43;0;22;276;61
26/03/2020;Portugal;549;3544;17;60;21;43;191;61
27/03/2020;Portugal;724;4268;16;76;0;43;354;71
28/03/2020;Portugal;902;5170;24;100;0;43;418;89
29/03/2020;Portugal;792;5962;19;119;0;43;486;138
30/03/2020;Portugal;446;6408;21;140;0;43;571;164
